,종목코드,PER,EPS,자본금,배당수익률,부채비율,유보율,자기자본이익률,매출액증가율,경상이익증가율,순이익증가율,VR,매출액,경상이익,당기순이익,BPS,영업이익증가율,영업이익,매출액영업이익률,매출액경상이익률,결산년월,분기BPS,분기영업이익증가율,분기경상이익증가율,분기순이익증가율,분기매출액,분기영업이익,분기경상이익,분기당기순이익,분기매출액영업이익률,분기매출액경상이익률,분기ROE,분기유보율,분기부채비율,최근분기년월
0,A005930,10.90999984741211,6625,778046,2.0,26.40999984741211,38360.25,17.06999969482422,8.09000015258789,-12.949999809265137,39.459999084472656,0.0,302231360,46440474000000,55654077000000,51529,-15.989999771118164,43376630000000,14.350000381469727,15.369999885559082,202212,51529,-95.47000122070312,-87.87999725341797,-86.0999984741211,63745371,640178000000,1826380000000,1574600000000,1.0,2.869999885559082,1.6100000143051147,38898.828125,26.209999084472656,202303
1,A005950,91.61000061035156,310,112253,1.7000000476837158,193.0,128.02000427246094,9.40999984741211,29.610000610351562,-72.27999877929688,-72.80999755859375,0.0,2207647,32909000000,26233000000,6582,-56.13999938964844,35990000000,1.6299999952316284,1.4900000095367432,202212,7050,0.0,0.0,0.0,544701,-16318000000,-20603000000,-7909000000,-3.0,-3.7799999713897705,-9.050000190734863,41.0,346.79998779296875,202303
